Question,Answers/Response
What questions or concerns do you have about your health or your baby's health? 💬,Yes
What questions or concerns do you have about your health or your baby's health? 💬,Yes
What questions or concerns do you have about your health or your baby's health? 💬,Yes
What questions or concerns do you have about your health or your baby's health? 💬,Yes
What questions or concerns do you have about your health or your baby's health? 💬,Yes
What questions or concerns do you have about your health or your baby's health? 💬,For last three days brown decharge is coming from my vagina? Why this happen
What questions or concerns do you have about your health or your baby's health? 💬,At my 6 week 3 days pregnancy baby's heart beat is faint.
What questions or concerns do you have about your health or your baby's health? 💬,"August, 2024"
What questions or concerns do you have about your health or your baby's health? 💬,Yes
What questions or concerns do you have about your health or your baby's health? 💬,EDD
What questions or concerns do you have about your health or your baby's health? 💬,E.D.D 26/7
What questions or concerns do you have about your health or your baby's health? 💬,Quadraple marker test
What questions or concerns do you have about your health or your baby's health? 💬,Hahim
What questions or concerns do you have about your health or your baby's health? 💬,Yes
What questions or concerns do you have about your health or your baby's health? 💬,Yes
What questions or concerns do you have about your health or your baby's health? 💬,Yes
What questions or concerns do you have about your health or your baby's health? 💬,Yes
What questions or concerns do you have about your health or your baby's health? 💬,नहीं
What questions or concerns do you have about your health or your baby's health? 💬,Yes
What questions or concerns do you have about your health or your baby's health? 💬,Tel now why my weight haven't gained
What questions or concerns do you have about your health or your baby's health? 💬,Bhasha change
What questions or concerns do you have about your health or your baby's health? 💬,Is smoking bad for pregnancy
What questions or concerns do you have about your health or your baby's health? 💬,Why my baby move alot during 6 months
What questions or concerns do you have about your health or your baby's health? 💬,Why my baby moves alot during 6 month's
What questions or concerns do you have about your health or your baby's health? 💬,What happen when i have less haemoglobin  during pregnancy
What questions or concerns do you have about your health or your baby's health? 💬,My health
What questions or concerns do you have about your health or your baby's health? 💬,Is normal delivery is good
What questions or concerns do you have about your health or your baby's health? 💬,Free delivery option
What questions or concerns do you have about your health or your baby's health? 💬,What happen if we do abortion 4 times
What questions or concerns do you have about your health or your baby's health? 💬,What happen if we do multiple abortion
What questions or concerns do you have about your health or your baby's health? 💬,Will abortion affect future pregnancy
What questions or concerns do you have about your health or your baby's health? 💬,Thank you
What questions or concerns do you have about your health or your baby's health? 💬,Tolaram
What questions or concerns do you have about your health or your baby's health? 💬,Assam
What questions or concerns do you have about your health or your baby's health? 💬,Assam
What questions or concerns do you have about your health or your baby's health? 💬,Assam
What questions or concerns do you have about your health or your baby's health? 💬,Yes
What questions or concerns do you have about your health or your baby's health? 💬,Assam
What questions or concerns do you have about your health or your baby's health? 💬,Assam
What questions or concerns do you have about your health or your baby's health? 💬,Why my right side belly is bigger during pregnancy
What questions or concerns do you have about your health or your baby's health? 💬,Why my right side belly is bigger during pregnancy
What questions or concerns do you have about your health or your baby's health? 💬,N0
What questions or concerns do you have about your health or your baby's health? 💬,HahimASHA
What questions or concerns do you have about your health or your baby's health? 💬,Halp
What questions or concerns do you have about your health or your baby's health? 💬,হয়
What questions or concerns do you have about your health or your baby's health? 💬,Yes
What questions or concerns do you have about your health or your baby's health? 💬,Yes
What questions or concerns do you have about your health or your baby's health? 💬,I m experiencing brown decharge even after taking progesterone tablets and injection. Why?
What questions or concerns do you have about your health or your baby's health? 💬,Hello
What questions or concerns do you have about your health or your baby's health? 💬,I am having severe back pain and also feeling uncomfortable in my vaginal
What questions or concerns do you have about your health or your baby's health? 💬,Do i have any possibilities of early delivery
What questions or concerns do you have about your health or your baby's health? 💬,DhupguriASHA
